event_type,initial_speed,plate_x,plate_z,pitch_name,pitch_type
hit_into_play,94,-0.752,1.875,Four-seam FB,FF
foul,93.9,0.229,2.037,Sinker,SI
hit_into_play,85.6,0.542,1.624,Slider,SL
hit_into_play,91.25,0.523,2.865,Two-seam FB,FT
hit_into_play,90,0.597,1.582,Sinker,SI
foul,80.6,0.189,3.232,Slider,SL
swinging_strike,96.512,0.011,2.363,Four-seam FB,FF
hit_into_play,91.8,0.616,2.411,Two-seam FB,FT
hit_into_play,91.1,0.829,1.268,Four-seam FB,FF
foul,94.349,0.505,3.498,Four-seam FB,FF
swinging_strike,83.9,0.602,1.793,Changeup,CH
foul,90.3,-0.721,2.305,Four-seam FB,FF
foul,96.1,0.685,4.096,Four-seam FB,FF
swinging_strike,83.6,1.279,0.323,Curveball,CU
foul,93.3,0.607,2.156,Cutter,FC
foul,89.82,0.68,3.271,Sinker,SI
foul,91.3,0.962,2.504,Four-seam FB,FF
foul,92.331,-0.711,2.172,Four-seam FB,FF
hit_into_play,93.8,-0.809,1.73,Four-seam FB,FF
swinging_strike,84.245,-0.397,3.396,Cutter,FC
swinging_strike,88.9,1.279,2.474,Four-seam FB,FF
hit_into_play,86.937,0.671,1.511,Sinker,SI
hit_into_play,70.9,0.017,2.711,Knuckleball,KN
foul,85.3,1.243,2.342,Slider,SL
foul,94.9,0.021,3.379,Four-seam FB,FF
foul,93.6,-0.38,2.625,Four-seam FB,FF
swinging_strike,81.871,1.583,1.788,Slider,SL
foul,84,0.78,0.97,Slider,SL
hit_into_play,80.4,0.575,1.818,Slider,SL
swinging_strike,83.4,0.228,1.552,Slider,SL
swinging_strike,86.6,0.32,1.366,Slider,SL
swinging_strike,82.6,-0.538,1.992,Changeup,CH
foul,89.4,-0.221,3.194,Sinker,SI
foul,86.3,0.18,1.986,Slider,SL
hit_into_play,80,0.717,1.212,Curveball,CU
foul,91.9,-0.579,3.265,Four-seam FB,FF
hit_into_play,90.2,0.514,2.116,Cutter,FC
hit_into_play,88.1,-0.373,1.509,Sinker,SI
swinging_strike,81.784,1.547,0.653,Slider,SL
hit_into_play,83.7,-0.467,2.338,Four-seam FB,FF
hit_into_play,92.6,-0.463,2.911,Four-seam FB,FF
hit_into_play,92.3,-1.525,2.668,Four-seam FB,FF
hit_into_play,93.6,-1.267,2.707,Four-seam FB,FF
swinging_strike,93,-0.203,2.222,Four-seam FB,FF
hit_into_play,90.4,0.908,1.708,Four-seam FB,FF
foul,87.2,0.146,2.39,Slider,SL
swinging_strike,70.5,-0.348,2.052,Curveball,CU
swinging_strike,96,-0.552,4.037,Four-seam FB,FF
foul,93.2,0.509,2.564,Four-seam FB,FF
foul,84.5,0.1,1.384,Slider,SL
swinging_strike,83.6,0.061,1.62,Slider,SL
hit_into_play,84.1,1.122,1.89,Slider,SL
swinging_strike,83.4,1.216,2.056,Cutter,FC
hit_into_play,80.5,-0.18,1.87,Slider,SL
hit_into_play,92.8,0.108,2.256,Two-seam FB,FT
hit_into_play,88.2,-0.317,2.942,Four-seam FB,FF
foul,82.1,0.12,2.332,Curveball,CU
swinging_strike,88.6,1.395,0.729,Slider,SL
hit_into_play,75.5,-0.142,2.228,Curveball,CU
foul,91.636,-0.898,2.239,Four-seam FB,FF
hit_into_play,92,0.088,1.571,Four-seam FB,FF
hit_into_play,91.9,0.226,2.791,Cutter,FC
foul,86.5,-0.455,1.477,Two-seam FB,FT
swinging_strike,80.7,0.573,1.643,Slider,SL
foul,66.983,1.314,1.714,Curveball,CU
foul,93.6,0.685,1.955,Four-seam FB,FF
foul,95.9,0.309,2.509,Four-seam FB,FF
foul,77.2,0.206,2.351,Slider,SL
hit_into_play,93.3,-1.232,1.892,Four-seam FB,FF
hit_into_play,86.5,0.658,2.855,Changeup,CH
foul,94.7,-0.344,3.207,Two-seam FB,FT
foul,83.3,0.853,2.734,Slider,SL
foul,93.1,-0.496,1.969,Four-seam FB,FF
hit_into_play,76.1,0.463,1.751,Slider,SL
foul,91.4,0.901,2.632,Four-seam FB,FF
swinging_strike,84.3,0.038,1.931,Changeup,CH
foul,92.8,-1.072,1.916,Two-seam FB,FT
swinging_strike,79.2,0.801,2.312,Slider,SL
hit_into_play,83.3,0.629,1.962,Changeup,CH
foul,90.039,-0.4,1.572,Two-seam FB,FT
hit_into_play,89.3,-0.956,2.375,Four-seam FB,FF
hit_into_play,89.4,-1.044,1.716,Changeup,CH
foul,88,0.737,3.347,Four-seam FB,FF
foul,96.6,-0.095,2.721,Four-seam FB,FF
foul,94.9,0.502,2.433,Two-seam FB,FT
swinging_strike,85,1.117,1.195,Slider,SL
foul,92,-1.424,2.678,Sinker,SI
foul,96.9,-0.897,2.6,Four-seam FB,FF
foul,90.9,-0.609,1.673,Four-seam FB,FF
hit_into_play,93.1,-0.02,3.116,Four-seam FB,FF
foul,93.1,-1.119,3.285,Two-seam FB,FT
hit_into_play,89.3,-0.245,1.798,Four-seam FB,FF
hit_into_play,90,-0.028,2.589,Four-seam FB,FF
foul,81.505,-0.291,1.091,Changeup,CH
hit_into_play,94.3,-0.652,3.491,Four-seam FB,FF
hit_into_play,88.426,0.333,1.677,Four-seam FB,FF
swinging_strike,78.528,1.248,-0.24,Curveball,CU
swinging_strike,93.3,-0.665,3.869,Four-seam FB,FF
hit_into_play,82.6,0.6,2.515,Cutter,FC
foul,90.392,-0.088,1.8,Four-seam FB,FF
hit_into_play,93.4,-0.113,3.405,Four-seam FB,FF
foul,89.6,0.11,2.734,Four-seam FB,FF
foul,94.1,0.171,2.336,Four-seam FB,FF
hit_into_play,81.719,0.422,2.492,Cutter,FC
foul,93.4,-0.619,2.982,Four-seam FB,FF
hit_into_play,91.4,-0.14,2.072,Two-seam FB,FT
foul,91.5,0.139,2.82,Two-seam FB,FT
foul,84.7,1.038,1.678,Changeup,CH
foul,95.5,0.79,2.813,Four-seam FB,FF
foul,79.6,-0.409,3.049,Slider,SL
foul,73.4,0.299,1.563,Curveball,CU
swinging_strike,87.421,0.994,1.829,Four-seam FB,FF
foul,90.746,0.8,2.69,Four-seam FB,FF
hit_into_play,84.2,0.786,1.409,Slider,SL
foul,94.613,-0.079,3.562,Four-seam FB,FF
foul,90.7,-0.281,2.691,Four-seam FB,FF
foul,78,0.373,1.441,Curveball,CU
swinging_strike,85.3,0.358,2.365,Cutter,FC
foul,80.2,-0.874,2.291,Curveball,CU
hit_into_play,90.1,0.232,2.124,Four-seam FB,FF
foul,92.2,-0.388,2.135,Four-seam FB,FF
hit_into_play,89.7,-1.464,2.805,Sinker,SI
swinging_strike,88.2,1.661,2.009,Slider,SL
foul,92.8,1.152,2.555,Four-seam FB,FF
foul,90.4,0.905,1.956,Slider,SL
hit_into_play,80.1,-0.413,2.927,Knuckle Curve,KC
hit_into_play,76.4,0.606,2.487,Curveball,CU
foul,96.2,0.683,2.892,Cutter,FC
hit_into_play,90.7,-0.822,1.47,Two-seam FB,FT
hit_into_play,79.528,0.079,2.227,Changeup,CH
foul,91.1,0.286,1.964,Four-seam FB,FF
foul,94.5,0.658,3.044,Four-seam FB,FF
hit_into_play,91.2,0.741,2.886,Four-seam FB,FF
swinging_strike,95.4,0.707,3.206,Four-seam FB,FF
hit_into_play,90.4,0.954,1.77,Two-seam FB,FT
hit_into_play,88.3,-0.32,2.521,Four-seam FB,FF
hit_into_play,81.34,0.773,2.36,Slider,SL
foul,84.8,-0.136,1.209,Slider,SL
foul,76.5,-0.398,3.14,Curveball,CU
swinging_strike,84,0.695,1.17,Slider,SL
swinging_strike,92.1,-0.172,3.618,Cutter,FC
hit_into_play,95.8,0.123,1.902,Two-seam FB,FT
foul,79.285,0.701,1.294,Curveball,CU
swinging_strike,78.5,0.654,1.62,Slider,SL
foul,88.9,-0.188,2.736,Two-seam FB,FT
hit_into_play,94.3,-1.08,2.9,Two-seam FB,FT
foul,95.5,0.647,2.338,Four-seam FB,FF
swinging_strike,78.5,1.393,1.614,Curveball,CU
hit_into_play,77.9,0.028,1.694,Changeup,CH
foul,91,-0.375,2.381,Four-seam FB,FF
foul,82.722,0.916,2.22,Cutter,FC
foul,84.9,0.165,2.129,Cutter,FC
hit_into_play,83.7,-0.041,2.51,Changeup,CH
hit_into_play,93.1,0.525,1.858,Sinker,SI
hit_into_play,86.7,0.64,2.11,Cutter,FC
foul,84.044,0.773,3.711,Slider,SL
foul,81.7,-0.568,2.934,Slider,SL
foul,89.3,0.58,2.262,Cutter,FC
swinging_strike,85.553,0.724,1.384,Slider,SL
foul,93.3,-0.549,2.2,Four-seam FB,FF
hit_into_play,92.617,-0.947,2.561,Four-seam FB,FF
foul,87.375,-0.274,2.865,Cutter,FC
hit_into_play,83.386,0.087,2.664,Changeup,CH
foul,81.8,-0.496,1.212,Changeup,CH
foul,85.659,-0.631,1.305,Cutter,FC
hit_into_play,94,-0.409,2.48,Four-seam FB,FF
hit_into_play,88,0.997,2.537,Slider,SL
foul,91.4,0.455,3.347,Four-seam FB,FF
hit_into_play,75.4,-0.319,2.441,Curveball,CU
foul,84.1,-0.868,2.114,Changeup,CH
foul,85.1,0.73,2.364,Slider,SL
foul,91.9,-0.77,3.49,Sinker,SI
swinging_strike,83.963,-0.328,3.313,Slider,SL
hit_into_play,92.9,0.324,2.93,Four-seam FB,FF
foul,84.4,0.174,1.937,Four-seam FB,FF
foul,85.152,0.602,1.321,Slider,SL
swinging_strike,87.275,1.414,1.842,Slider,SL
swinging_strike,87.7,0.963,0.985,Slider,SL
swinging_strike,94.8,1.154,2.254,Four-seam FB,FF
foul,91.9,0.513,2.265,Four-seam FB,FF
foul,91,-0.701,2.237,Four-seam FB,FF
foul,91.2,-0.401,2.49,Two-seam FB,FT
swinging_strike,88.2,-0.19,3.187,Cutter,FC
swinging_strike,87.8,0.114,0.647,Cutter,FC
hit_into_play,87.2,1.135,2,Cutter,FC
foul,91.544,-0.422,2.321,Four-seam FB,FF
swinging_strike,85,1.117,1.195,Slider,SL
swinging_strike,79.2,0.458,0.776,Changeup,CH
swinging_strike,80.538,1.106,1.119,Slider,SL
foul,94.4,0.194,3.092,Four-seam FB,FF
hit_into_play,85.684,0.926,1.71,Cutter,FC
foul,82.4,0.074,2.229,Cutter,FC
foul,92.939,-0.768,3.06,Four-seam FB,FF
foul,93.2,-0.504,3.639,Four-seam FB,FF
foul,94.6,0.215,3.156,Four-seam FB,FF
hit_into_play,85.4,-0.078,2.591,Two-seam FB,FT
foul,87,0.428,2.459,Cutter,FC
swinging_strike,87.356,-0.419,0.95,Sinker,SI
foul,88.2,0.434,1.515,Four-seam FB,FF
foul,90.1,0.41,3.252,Sinker,SI
foul,92.9,0.418,3.718,Four-seam FB,FF
hit_into_play,95,0.463,2.545,Four-seam FB,FF
swinging_strike,88.5,-0.003,2.824,Cutter,FC
hit_into_play,95.8,-0.48,3.18,Two-seam FB,FT
swinging_strike,91.6,0.68,2.591,Four-seam FB,FF
foul,93.8,-0.083,2.262,Four-seam FB,FF
hit_into_play,88.7,0.092,3.063,Cutter,FC
hit_into_play,92,-0.932,2.274,Sinker,SI
hit_into_play,88.6,0.063,1.511,Cutter,FC
hit_into_play,66.9,0.799,1.61,Curveball,CU
foul,86.8,0.554,2.497,Four-seam FB,FF
hit_into_play,88.841,-0.228,2.804,Four-seam FB,FF
foul,76.4,1.334,1.504,Curveball,CU
hit_into_play,82.2,0.105,2.346,Slider,SL
foul,96.4,-0.747,2.158,Sinker,SI
hit_into_play,93.061,0.244,1.811,Sinker,SI
swinging_strike,82.8,0.534,1.633,Slider,SL
foul,88.3,0.168,1.365,Splitter,FS
foul,94.4,0.338,2.224,Four-seam FB,FF
foul,95.2,-1.153,3.435,Sinker,SI
hit_into_play,93.8,-0.135,3.035,Four-seam FB,FF
foul,91.7,-0.287,2.091,Four-seam FB,FF
swinging_strike,94.2,-0.133,1.023,Sinker,SI
foul,77.2,-0.102,1.762,Curveball,CU
swinging_strike,76.5,0.99,1.409,Curveball,CU
swinging_strike,82.552,0.461,0.73,Slider,SL
swinging_strike,85.1,0.545,1.54,Curveball,CU
hit_into_play,94.1,0.35,3.159,Four-seam FB,FF
foul,91.4,-0.14,2.387,Four-seam FB,FF
foul,94.4,0.48,2.106,Four-seam FB,FF
foul,88.2,-0.89,2.174,Four-seam FB,FF
swinging_strike,80.376,-0.45,0.875,Slider,SL
foul,94.315,-0.957,3.249,Four-seam FB,FF
hit_into_play,83.341,-0.023,2.503,Changeup,CH
hit_into_play,79.739,0.394,2.953,Slider,SL
swinging_strike,74.193,-0.155,2.905,Changeup,CH
foul,93.3,0.399,2.043,Four-seam FB,FF
hit_into_play,95.6,0.621,2.164,Four-seam FB,FF
hit_into_play,93.9,-0.051,2.079,Two-seam FB,FT
foul,93.7,-0.211,3.754,Four-seam FB,FF
foul,90.6,0.559,2.502,Four-seam FB,FF
hit_into_play,90.9,-0.139,2.44,Cutter,FC
hit_into_play,88.8,0.526,3.225,Four-seam FB,FF
hit_into_play,89.9,0.375,2.457,Sinker,SI
swinging_strike,80.9,0.073,2.765,Curveball,CU
swinging_strike,85.7,1.279,1.379,Slider,SL
foul,93.7,-0.027,2.874,Two-seam FB,FT
foul,89,-0.396,2.921,Two-seam FB,FT
foul,94.42,-1.338,3.453,Four-seam FB,FF
hit_into_play,85.131,-0.391,1.379,Sinker,SI
hit_into_play,92.6,0.451,2.145,Four-seam FB,FF
foul,93.3,0.447,1.983,Four-seam FB,FF
hit_into_play,81.5,-0.64,2.303,Curveball,CU
swinging_strike,93.1,0.151,3.056,Cutter,FC
foul,94.117,-0.077,2.609,Four-seam FB,FF
swinging_strike,94.8,0.697,3.303,Four-seam FB,FF
hit_into_play,83.2,0.765,2.543,Cutter,FC
hit_into_play,84.3,0.01,2.383,Changeup,CH
foul,84.4,1.407,1.823,Knuckle Curve,KC
foul,84.6,0.512,2.896,Slider,SL
swinging_strike,80.274,0.237,0.989,Slider,SL
hit_into_play,88.4,-0.631,2.984,Four-seam FB,FF
hit_into_play,93.7,0.738,2.639,Four-seam FB,FF
swinging_strike,91.6,0.513,1.877,Four-seam FB,FF
hit_into_play,94.132,-0.098,2.021,Four-seam FB,FF
hit_into_play,89.6,0.307,2.23,Slider,SL
hit_into_play,87.4,-0.298,2.932,Slider,SL
hit_into_play,84.5,0.316,2.866,Slider,SL
hit_into_play,90.8,0.046,2.572,Cutter,FC
swinging_strike,92.9,0.191,1.916,Four-seam FB,FF
foul,89.8,-0.405,2.259,Four-seam FB,FF
foul,93.6,0.05,3.45,Four-seam FB,FF
foul,90.425,-0.023,3.362,Four-seam FB,FF
swinging_strike,94.1,-0.646,3.556,Four-seam FB,FF
foul,91.2,0.389,2.888,Two-seam FB,FT
foul,91.9,0.104,3.149,Four-seam FB,FF
foul,88.037,0.158,2.083,Two-seam FB,FT
foul,92.1,0.598,2.898,Four-seam FB,FF
swinging_strike,77.7,0.91,2.67,Slider,SL
swinging_strike,92.4,0.235,2.522,Four-seam FB,FF
foul,78.5,0.844,2.221,Slider,SL
hit_into_play,82.9,0.144,2.853,Slider,SL
hit_into_play,89.1,-0.769,1.473,Two-seam FB,FT
foul,80.3,-0.626,1.001,Changeup,CH
swinging_strike,98.7,0.325,2.504,Four-seam FB,FF
foul,92.1,0.201,1.951,Four-seam FB,FF
foul,87.8,0.253,0.705,Changeup,CH
hit_into_play,83.2,0.674,1.391,Slider,SL
hit_into_play,83.8,-0.52,1.784,Changeup,CH
swinging_strike,73.851,0.085,1.375,Curveball,CU
foul,93,-0.296,3.3,Four-seam FB,FF
swinging_strike,93.4,-0.204,2.051,Four-seam FB,FF
swinging_strike,93.4,-0.109,3.035,Four-seam FB,FF
swinging_strike,83.2,0.779,1.272,Cutter,FC
foul,94,-0.317,2.047,Two-seam FB,FT
hit_into_play,95.1,0.764,2.295,Four-seam FB,FF
swinging_strike,92,0.547,3.565,Four-seam FB,FF
swinging_strike,92.8,0.679,2.215,Four-seam FB,FF
hit_into_play,83.087,-0.175,1.949,Cutter,FC
hit_into_play,85.858,0.411,2.119,Slider,SL
hit_into_play,81.3,0.33,1.799,Curveball,CU
foul,88.2,-1.277,1.513,Changeup,CH
swinging_strike,91.8,0.34,1.25,Four-seam FB,FF
hit_into_play,93.7,-0.557,1.287,Four-seam FB,FF
foul,79.455,0.65,2.678,Curveball,CU
foul,91.4,0.162,2.332,Sinker,SI
foul,89.1,0.163,1.529,Sinker,SI
foul,73.3,-1.067,1.299,Curveball,CU
hit_into_play,92.1,-0.129,1.382,Four-seam FB,FF
hit_into_play,81.058,0.484,2.71,Slider,SL
hit_into_play,94.3,1.055,2.095,Four-seam FB,FF
hit_into_play,95.784,0.251,1.799,Cutter,FC
hit_into_play,88.5,-0.161,2.459,Slider,SL
swinging_strike,95.5,0.787,2.776,Four-seam FB,FF
swinging_strike,82.7,0.585,1.983,Curveball,CU
foul,72.5,0.38,2.048,Curveball,CU
foul,86.9,0.035,2.735,Slider,SL
hit_into_play,92.3,-0.413,2.884,Four-seam FB,FF
hit_into_play,82.5,-0.574,2.869,Cutter,FC
hit_into_play,92.7,-0.442,2.572,Four-seam FB,FF
hit_into_play,93.9,0.566,1.787,Four-seam FB,FF
swinging_strike,84.4,1.28,2.35,Cutter,FC
foul,83.3,0.003,0.982,Changeup,CH
hit_into_play,79.8,0.331,3.035,Slider,SL
foul,77.3,0.814,2.057,Curveball,CU
foul,86.614,-0.642,3.19,Four-seam FB,FF
foul,93.9,-0.17,1.439,Sinker,SI
foul,93.5,0.165,3.155,Sinker,SI
swinging_strike,91.4,0.93,1.803,Sinker,SI
swinging_strike,92.4,-0.504,3.188,Four-seam FB,FF
hit_into_play,75.7,0.529,2.331,Curveball,CU
foul,94,-0.024,2.967,Four-seam FB,FF
foul,91.7,-0.212,2.864,Two-seam FB,FT
foul,93.076,0.904,3.374,Four-seam FB,FF
swinging_strike,90.498,0.278,2.441,Four-seam FB,FF
swinging_strike,80.7,1.431,1.423,Curveball,CU
foul,91.2,0.494,2.803,Four-seam FB,FF
swinging_strike,81.5,0.504,1.803,Slider,SL
swinging_strike,96,0.342,3.019,Four-seam FB,FF
swinging_strike,81.9,0.456,1.416,Changeup,CH
foul,81.8,-0.865,2.21,Changeup,CH
foul,95,0.791,2.467,Four-seam FB,FF
foul,87,0.718,1.627,Slider,SL
swinging_strike,94.5,-0.281,2.63,Four-seam FB,FF
hit_into_play,84.8,0.276,2.373,Slider,SL
foul,89.7,1.05,2.596,Four-seam FB,FF
hit_into_play,85.3,-0.174,1.915,Slider,SL
hit_into_play,95.9,0.921,2.568,Four-seam FB,FF
foul,90.9,0.813,2.381,Four-seam FB,FF
hit_into_play,85.6,-0.342,1.121,Changeup,CH
foul,94.7,0.468,2.054,Four-seam FB,FF
foul,90,-0.384,1.871,Two-seam FB,FT
hit_into_play,93.6,-0.45,2.689,Four-seam FB,FF
swinging_strike,91.116,0.491,3.731,Cutter,FC
hit_into_play,95.1,-0.209,3.635,Two-seam FB,FT
hit_into_play,91.049,-0.749,3.179,Four-seam FB,FF
hit_into_play,90.1,-1.054,1.876,Two-seam FB,FT
hit_into_play,89.1,-0.238,2.438,Sinker,SI
swinging_strike,84.7,0.009,2.379,Changeup,CH
foul,91.019,-0.193,1.967,Sinker,SI
foul,91.285,0.402,2.583,Four-seam FB,FF
foul,88.9,-0.578,2.422,Slider,SL
foul,92.65,-0.643,2.867,Four-seam FB,FF
swinging_strike,95.9,1.05,2.07,Four-seam FB,FF
hit_into_play,91.5,-0.456,2.314,Four-seam FB,FF
hit_into_play,86.1,0.427,1.503,Changeup,CH
hit_into_play,94.3,-0.015,2.266,Four-seam FB,FF
foul,92.1,-0.926,2.133,Two-seam FB,FT
hit_into_play,78.1,0.058,1.226,Slider,SL
hit_into_play,89.7,-0.696,1.843,Four-seam FB,FF
hit_into_play,91.092,0.083,2.118,Four-seam FB,FF
foul,92.3,0.794,3.14,Four-seam FB,FF
hit_into_play,80.971,-0.031,1.961,Slider,SL
foul,95.5,0.783,2.023,Four-seam FB,FF
hit_into_play,81.8,0.014,2.456,Changeup,CH
hit_into_play,93,-0.04,2.646,Four-seam FB,FF
foul,93.7,0.682,2.938,Four-seam FB,FF
hit_into_play,93.26,-0.718,3.176,Sinker,SI
hit_into_play,90.8,-0.802,2.028,Sinker,SI
swinging_strike,82.6,0.239,2.858,Slider,SL
foul,92.773,0.409,2.139,Four-seam FB,FF
foul,92.6,0.554,3.273,Four-seam FB,FF
swinging_strike,73.2,-0.477,1.372,Curveball,CU
swinging_strike,85.1,1.087,1.37,Slider,SL
foul,84.3,1.044,3.557,Slider,SL
foul,81.2,-0.539,2.623,Slider,SL
foul,81.3,0.763,2.46,Changeup,CH
foul,88.7,-0.808,1.605,Two-seam FB,FT
hit_into_play,79.222,0.827,1.351,Curveball,CU
foul,83.1,-0.093,1.026,Slider,SL
foul,88.9,1.349,2.765,Sinker,SI
hit_into_play,77.7,-0.934,1.619,Curveball,CU
hit_into_play,89.6,0.97,2.642,Four-seam FB,FF
hit_into_play,94.3,0.231,2.744,Two-seam FB,FT
hit_into_play,95.2,0.073,1.746,Four-seam FB,FF
hit_into_play,89.4,-0.18,2.387,Four-seam FB,FF
hit_into_play,92.6,0.698,3.163,Four-seam FB,FF
foul,93,0.499,2.701,Four-seam FB,FF
hit_into_play,89.2,-0.099,1.931,Four-seam FB,FF
foul,87.7,0.007,2.531,Changeup,CH
hit_into_play,86.3,0.739,3.04,Cutter,FC
hit_into_play,80.6,0.455,1.701,Slider,SL
foul,93.2,0.672,1.622,Four-seam FB,FF
hit_into_play,77.5,0.68,1.289,Knuckle Curve,KC
foul,86.899,0.422,3.275,Cutter,FC
foul,89.7,0.166,1.323,Four-seam FB,FF
foul,94.742,-0.292,1.925,Four-seam FB,FF
foul,79.5,-0.046,2.046,Curveball,CU
hit_into_play,89.923,0.458,3.283,Cutter,FC
foul,90.907,0.532,3.427,Four-seam FB,FF
swinging_strike,93.5,0.95,2.252,Four-seam FB,FF
foul,80.9,0.18,2.266,Slider,SL
foul,85.396,0.758,1.494,Cutter,FC
foul,76,-0.323,2.538,Curveball,CU
foul,82,0.051,2.09,Knuckle Curve,KC
foul,92.7,0.051,3.311,Four-seam FB,FF
hit_into_play,92.4,-0.349,1.869,Four-seam FB,FF
swinging_strike,73.606,-0.71,1.781,Changeup,CH
foul,88.746,0.009,2.21,Four-seam FB,FF
foul,94.1,0.02,2.13,Four-seam FB,FF
foul,91.7,-0.212,3.254,Two-seam FB,FT
swinging_strike,83.664,0.826,1.796,Cutter,FC
foul,93.1,-0.664,3.257,Four-seam FB,FF
hit_into_play,88.9,1.369,2.421,Cutter,FC
swinging_strike,81,-0.183,0.954,Changeup,CH
hit_into_play,71.4,-0.01,1.695,Curveball,CU
foul,82.9,0.141,2.074,Slider,SL
hit_into_play,69.591,-0.485,2.189,Curveball,CU
hit_into_play,92.014,1.266,1.908,Four-seam FB,FF
hit_into_play,86.7,0.551,2.219,Changeup,CH
foul,91.2,-1.28,1.817,Two-seam FB,FT
swinging_strike,68.4,0.307,1.555,Curveball,CU
hit_into_play,90.8,0.074,2.368,Slider,SL
foul,93.7,-1.109,2.899,Four-seam FB,FF
foul,95.1,-0.246,3.142,Four-seam FB,FF
swinging_strike,81.4,0.865,1.564,Slider,SL
foul,88.7,0.754,2.959,Two-seam FB,FT
swinging_strike,93.8,-0.315,3.621,Four-seam FB,FF
hit_into_play,90.2,1.111,2.59,Cutter,FC
hit_into_play,85.6,0.624,2.311,Cutter,FC
swinging_strike,87.5,1.82,2.14,Cutter,FC
swinging_strike,94.552,0.903,1.163,Four-seam FB,FF
swinging_strike,93.3,-0.355,2.25,Four-seam FB,FF
foul,90.9,0.83,2.831,Cutter,FC
hit_into_play,92.5,-0.505,1.922,Sinker,SI
swinging_strike,89.2,1.52,1.08,Slider,SL
swinging_strike,86.9,0.261,2.013,Four-seam FB,FF
swinging_strike,85.4,0.952,1.466,Slider,SL
hit_into_play,86.6,-0.318,1.982,Cutter,FC
hit_into_play,94.9,-0.173,2.022,Four-seam FB,FF
swinging_strike,88.8,0.232,0.946,Slider,SL
foul,92.7,0.108,3.021,Four-seam FB,FF
hit_into_play,92.51,0.711,2.228,Two-seam FB,FT
hit_into_play,93,0.409,1.899,Four-seam FB,FF
hit_into_play,88,1.147,2.303,Four-seam FB,FF
swinging_strike,79.8,-0.36,0.86,Slider,SL
swinging_strike,95.9,0.946,2.087,Four-seam FB,FF
hit_into_play,88.8,-0.326,0.942,Slider,SL
swinging_strike,77.581,0.343,0.846,Slider,SL
swinging_strike,91.6,0.508,1.256,Two-seam FB,FT
swinging_strike,74.6,-0.708,1.916,Changeup,CH
swinging_strike,88.461,1.403,1.379,Cutter,FC
foul,92.4,-0.24,2.49,Four-seam FB,FF
hit_into_play,90.4,0.191,1.765,Four-seam FB,FF
hit_into_play,86.9,0.457,2.805,Slider,SL
hit_into_play,94.5,0.639,1.603,Two-seam FB,FT
foul,84.5,0.375,2.658,Knuckle Curve,KC
hit_into_play,82.7,0.634,1.469,Knuckle Curve,KC
swinging_strike,73.662,0.703,1.641,Curveball,CU
foul,92.4,-1.465,3.523,Four-seam FB,FF
swinging_strike,84.811,0.668,1.795,Changeup,CH
hit_into_play,89.4,0.214,2.941,Slider,SL
hit_into_play,85.7,-0.256,2.731,Changeup,CH
hit_into_play,84.6,1.079,1.943,Knuckle Curve,KC
swinging_strike,87.2,0.273,2.108,Slider,SL
foul,91.2,0.942,3.326,Sinker,SI
swinging_strike,78.9,-0.2,0.99,Changeup,CH
foul,90.5,-0.05,3.205,Cutter,FC
foul,99.4,0.137,2.226,Four-seam FB,FF
swinging_strike,82.4,0.628,1.491,Curveball,CU
swinging_strike,81.9,1.281,1.301,Slider,SL
foul,96.1,-0.363,3.335,Four-seam FB,FF
hit_into_play,100.192,-0.285,3.111,Four-seam FB,FF
hit_into_play,77.218,1.271,1.445,Curveball,CU
hit_into_play,69.2,-0.464,2.192,Curveball,CU
foul,84.971,0.521,2.166,Slider,SL
foul,83.025,0.06,3.105,Cutter,FC
foul,90.388,-0.051,2.468,Four-seam FB,FF
foul,93.2,0.102,2.6,Four-seam FB,FF
foul,91.532,0.722,2.339,Four-seam FB,FF
foul,80.7,0.347,2.497,Curveball,CU
hit_into_play,85.301,0.465,2.842,Slider,SL
foul,91.9,-1.108,2.199,Two-seam FB,FT
foul,91.9,-1.08,1.688,Two-seam FB,FT
foul,89.2,-1.102,2.52,Sinker,SI
foul,92.6,-0.03,2.173,Sinker,SI
foul,86,0.166,2.459,Sinker,SI
hit_into_play,86.6,0.27,2.141,Slider,SL
foul,86.1,1.604,1.888,Knuckle Curve,KC
hit_into_play,93.954,1.096,3.467,Four-seam FB,FF
hit_into_play,93.759,-0.72,1.631,Sinker,SI
hit_into_play,94.78,-0.746,2.768,Four-seam FB,FF
foul,92.16,-1.655,2.395,Two-seam FB,FT
foul,82,0.442,2.296,Slider,SL
foul,90.9,0.938,2.503,Four-seam FB,FF
foul,91,-0.037,2.209,Cutter,FC
hit_into_play,87.597,0.585,1.727,Slider,SL
hit_into_play,90,0.71,1.776,Four-seam FB,FF
foul,87.9,-0.345,2.796,Cutter,FC
foul,89.4,0.476,3.174,Four-seam FB,FF
hit_into_play,88.2,0.348,2.07,Sinker,SI
foul,80.9,-0.677,2.681,Changeup,CH
swinging_strike,86.8,0.168,0.487,Changeup,CH
foul,93.5,-0.597,2.889,Sinker,SI
foul,94.7,1.207,2.206,Four-seam FB,FF
foul,91.6,0.453,2.66,Four-seam FB,FF
hit_into_play,90.6,0.806,2.739,Four-seam FB,FF
hit_into_play,88.8,-0.6,2.408,Four-seam FB,FF
hit_into_play,92.9,0.17,2.11,Four-seam FB,FF
hit_into_play,92.4,0.632,2.507,Four-seam FB,FF
