event_type,initial_speed,plate_x,plate_z,pitch_name,pitch_type
swinging_strike,82.5,0.486,1.483,Changeup,CH
foul,92.9,0.04,2.933,Four-seam FB,FF
foul,91.1,0.461,2.494,Two-seam FB,FT
hit_into_play,82.7,0.179,1.441,Knuckle Curve,KC
foul,90.1,0.311,2.927,Four-seam FB,FF
swinging_strike,72,-0.146,1.249,Curveball,CU
hit_into_play,88.6,0.489,2.449,Sinker,SI
foul,90.918,0.468,2.313,Four-seam FB,FF
foul,93.2,-0.303,2.752,Sinker,SI
swinging_strike,72.8,-0.48,3.857,Knuckleball,KN
hit_into_play,82.9,-0.027,1.446,Curveball,CU
foul,87.4,1.061,2.713,Four-seam FB,FF
foul,85.9,-0.035,1.213,Slider,SL
swinging_strike,93.1,-1.358,2.711,Two-seam FB,FT
hit_into_play,93.766,-1.033,2.715,Two-seam FB,FT
foul,91.4,-0.488,3.352,Four-seam FB,FF
hit_into_play,91.9,-0.926,2.705,Four-seam FB,FF
hit_into_play,94.311,0.46,1.873,Sinker,SI
foul,91.338,-0.233,3.208,Four-seam FB,FF
hit_into_play,94.7,-0.254,3.408,Four-seam FB,FF
swinging_strike,82.966,0.848,2.849,Slider,SL
foul,83.3,0.765,2.355,Slider,SL
foul,93.56,-0.177,3.121,Four-seam FB,FF
hit_into_play,81.5,0.115,2.477,Curveball,CU
foul,93.2,0.717,2.239,Four-seam FB,FF
hit_into_play,85.2,0.613,1.845,Cutter,FC
hit_into_play,71.2,-0.242,2.978,Curveball,CU
hit_into_play,94.1,0.001,2.59,Four-seam FB,FF
foul,90.6,0.22,1.789,Two-seam FB,FT
hit_into_play,76.3,0.476,2.253,Curveball,CU
foul,78.4,0.177,2.68,Curveball,CU
foul,95.7,0.484,2.818,Four-seam FB,FF
swinging_strike,81.9,0.676,1.66,Knuckle Curve,KC
hit_into_play,92.6,0.137,1.775,Four-seam FB,FF
swinging_strike,77,1.539,-1.285,Curveball,CU
foul,96.5,0.325,3.096,Four-seam FB,FF
foul,92.6,-0.814,1.986,Sinker,SI
foul,86.4,0.609,2.464,Four-seam FB,FF
hit_into_play,84.9,0.302,1.777,Slider,SL
foul,89.118,0.219,2.979,Cutter,FC
swinging_strike,88.2,1.284,1.95,Slider,SL
foul,90.2,-0.27,2.12,Four-seam FB,FF
foul,64,1.479,2.251,Curveball,CU
swinging_strike,86.4,1.59,1.696,Cutter,FC
hit_into_play,86,0.565,2.505,Slider,SL
swinging_strike,93,-0.072,3.27,Four-seam FB,FF
foul,82.1,0.195,1.396,Cutter,FC
foul,93.7,0.595,2.707,Four-seam FB,FF
foul,94.1,0.131,3.579,Four-seam FB,FF
foul,98.4,-0.42,1.43,Four-seam FB,FF
swinging_strike,66.8,1.048,1.491,Curveball,CU
foul,83.924,-0.233,1.197,Splitter,FS
swinging_strike,90.6,-0.157,3.259,Cutter,FC
swinging_strike,91,-0.588,1.669,Sinker,SI
foul,85.3,-0.468,2.148,Two-seam FB,FT
swinging_strike,79.1,0.315,1.174,Curveball,CU
foul,88.2,0.155,1.638,Sinker,SI
hit_into_play,87.2,0.562,1.629,Slider,SL
hit_into_play,91.63,-0.188,1.599,Sinker,SI
foul,76.095,-0.241,2.383,Curveball,CU
hit_into_play,95.7,-0.704,2.964,Two-seam FB,FT
foul,87.036,-0.715,1.459,Sinker,SI
hit_into_play,90.3,0.324,2.853,Sinker,SI
foul,89.3,0.241,2.95,Four-seam FB,FF
hit_into_play,93.9,-0.019,2.944,Sinker,SI
foul,96.7,-1.239,1.826,Sinker,SI
foul,91.815,-0.201,2.421,Two-seam FB,FT
swinging_strike,75.163,1.027,2.866,Curveball,CU
swinging_strike,94,1.037,2.554,Four-seam FB,FF
foul,90.4,0.492,2.945,Four-seam FB,FF
foul,84.555,0.204,2.778,Sinker,SI
foul,95.5,-0.092,2.247,Cutter,FC
foul,95.2,0.414,3.367,Four-seam FB,FF
foul,85.078,-0.174,2.441,Changeup,CH
swinging_strike,84.5,1.117,0.831,Knuckle Curve,KC
foul,92.2,0.522,2.712,Four-seam FB,FF
swinging_strike,95.8,0.86,2.361,Four-seam FB,FF
hit_into_play,83,0.55,2.4,Slider,SL
hit_into_play,91.213,0.773,2.822,Four-seam FB,FF
foul,89.6,-0.948,2.785,Sinker,SI
swinging_strike,81.3,1.608,1.408,Slider,SL
foul,89.7,-0.337,2.669,Four-seam FB,FF
hit_into_play,83.7,-0.982,2.321,Changeup,CH
hit_into_play,84.3,-0.465,3.137,Changeup,CH
hit_into_play,90.6,0.718,2.021,Four-seam FB,FF
foul,88.5,-0.683,2.964,Four-seam FB,FF
foul,74.192,-0.478,2.547,Curveball,CU
foul,86.6,-0.445,2.595,Four-seam FB,FF
swinging_strike,85.8,0.972,0.627,Slider,SL
hit_into_play,92.7,-0.237,2.225,Four-seam FB,FF
hit_into_play,71.503,0.281,2.509,Curveball,CU
hit_into_play,81.8,-0.059,1.062,Changeup,CH
swinging_strike,77.409,0.859,1.285,Curveball,CU
foul,95,-0.843,2.658,Four-seam FB,FF
foul,82.5,0.972,2.244,Slider,SL
foul,84.1,-0.665,2.407,Cutter,FC
hit_into_play,86.8,0.196,3.029,Slider,SL
swinging_strike,89.477,-0.012,3.275,Four-seam FB,FF
swinging_strike,96.4,0.993,1.77,Cutter,FC
foul,73.6,0.603,2.811,Curveball,CU
hit_into_play,89.1,-0.195,2.645,Four-seam FB,FF
foul,87.7,0.316,2.374,Changeup,CH
foul,86.653,-1.545,3.273,Four-seam FB,FF
foul,92.1,-0.912,1.459,Two-seam FB,FT
foul,93.8,0.004,1.356,Four-seam FB,FF
foul,96.9,-1.209,2.338,Sinker,SI
swinging_strike,89.511,0.565,1.148,Slider,SL
foul,95.9,0.44,2.1,Four-seam FB,FF
foul,83.586,0.77,2.167,Slider,SL
foul,91.4,0.029,1.717,Two-seam FB,FT
hit_into_play,76.8,0.988,2.041,Curveball,CU
swinging_strike,81.819,0.314,3.444,Slider,SL
hit_into_play,91.9,-0.695,1.675,Two-seam FB,FT
foul,81.3,-0.397,3.186,Slider,SL
foul,95.5,0.436,2.916,Four-seam FB,FF
foul,87.697,-1.133,1.587,Four-seam FB,FF
hit_into_play,86.6,-0.254,2.557,Changeup,CH
swinging_strike,80.928,1.03,1.173,Curveball,CU
foul,86.3,-0.054,1.597,Four-seam FB,FF
foul,92,0.326,1.727,Four-seam FB,FF
swinging_strike,90.1,-0.675,1.765,Four-seam FB,FF
foul,97,-0.843,1.972,Sinker,SI
foul,92.6,-0.049,2.965,Four-seam FB,FF
hit_into_play,88.2,0.973,3.27,Two-seam FB,FT
hit_into_play,91.6,-0.8,3.19,Four-seam FB,FF
hit_into_play,92,-0.421,2.303,Four-seam FB,FF
hit_into_play,92.079,0.596,1.963,Sinker,SI
hit_into_play,90.9,0.919,1.942,Cutter,FC
foul,79.95,1.086,2.489,Curveball,CU
swinging_strike,80.738,1.023,1.522,Cutter,FC
swinging_strike,87.8,0.616,1.516,Slider,SL
hit_into_play,96.1,0.041,1.75,Four-seam FB,FF
foul,89.3,-0.191,2.328,Four-seam FB,FF
foul,89.177,-0.048,1.962,Four-seam FB,FF
foul,95.3,0.273,1.253,Four-seam FB,FF
foul,79.9,-0.504,1.298,Slider,SL
foul,84.4,0.072,3.53,Changeup,CH
foul,86.059,0.133,2.286,Sinker,SI
foul,90.399,0.77,2.963,Two-seam FB,FT
swinging_strike,87.288,0.48,2.359,Slider,SL
foul,89.071,-0.552,1.663,Four-seam FB,FF
hit_into_play,86.9,-0.304,2.098,Cutter,FC
foul,97.6,0.122,3.161,Two-seam FB,FT
hit_into_play,90.9,-0.308,2.394,Four-seam FB,FF
swinging_strike,83,-0.043,1.094,Changeup,CH
hit_into_play,92.884,0.811,2.583,Four-seam FB,FF
